,증상,제품명,효능,복용법
8,건조,쎄레톱씨연질캡슐,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 A, C, E의 보급과 눈의 건조감의 완화, 야맹증(밤에 잘 못 보는 증상), 말초혈행장애 및 갱년기 시 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움) 증상의 완화, 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸 출혈ㆍ비출혈(코피) 예방에 사용합니다.","성인은 1회 1캡슐씩, 1일 1회 식후에 복용합니다."
9,건조,유그린크림(요소),"이 약은 진행성 지장각피증(주부습진의 건조형), 손·발바닥 각피증, 어린선(魚鱗蘚), 노인성 건피증, 모공성태선, 아토피 피부에 사용합니다.",환부를 씻은 다음 1일 1~수회 이 약을 바른 후 충분히 문지릅니다.
0,건초염,부루펜정200밀리그램(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","성인은 류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에는 1회 1~3정(200~600 mg) 1일 3~4회 1일 최고 16정(3,200 mg)까지 복용할 수 있으며, 연소성 류마티양 관절염에는 1일 체중 kg당 30~40 mg을 3~4회 분할 복용, 경증 및 중등도의 동통이나 감기에는 성인 1회 1~2정(200~400 mg) 1일 3~4회 복용합니다."
1,건초염,부루펜정400밀리그램(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1/2정~1.5정(200~600 mg), 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1/2정~1정(200~400 mg), 1일 3~4회 복용합니다.권장용량을 초과하여 복용하지 마십시오.연령, 증상에 따라 적절히 증감하십시오."
2,건초염,스코펜정400밀리그램(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1/2정~1.5정(200~600 mg), 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1/2정~1정(200~400 mg), 1일 3~4회 복용합니다.11~14세는 1회 200~250 mg, 7~10세는 1회 150~-200 mg, 3~6세는 1회 100~150 mg, 1~ 2세는 1회 50~100 mg을 1일 3~4회 경구투여합니다.체중이 30 kg 미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 복용은 피하는 것이 바람직합니다.권장용량을 초과하여 복용하지 마십시오."
3,건초염,이부펜200밀리그람정(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","성인은 류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에는 1회 1~3정(200~600 mg) 1일 3~4회 1일 최고 16정(3,200 mg)까지 복용할 수 있으며, 연소성 류마티양 관절염에는 1일 체중 kg당 30~40 mg을 3~4회 분할 복용, 경증 및 중등도의 동통이나 감기에는 성인 1회 1~2정(200~400 mg) 1일 3~4회 복용합니다."
4,건초염,"이텍스이부프로펜정400mg(수출명:IPRO,ILJINIBUPROPENTabs.)","이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1/2정~1.5정(200~600 mg), 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1/2정~1정(200~400 mg), 1일 3~4회 복용합니다.11~14세는 1회 200~250 mg, 7~10세는 1회 150~-200 mg, 3~6세는 1회 100~150 mg, 1~ 2세는 1회 50~100 mg을 1일 3~4회 경구투여합니다.체중이 30 kg 미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 복용은 피하는 것이 바람직합니다.권장용량을 초과하여 복용하지 마십시오."
5,건초염,바이겔크림(인도메타신),"이 약은 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염, 건주위염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창ㆍ동통의 진통ㆍ소염에 사용합니다.",증상에 따라 적당량을 1일 수회 환부에 바르고 잘 스며들도록 가볍게 문지릅니다.
6,건초염,어린이부루펜시럽(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","11~14세는 1회 200~250 mg (10~13 mL), 7~10세는 1회 150~200 mg (8~10 mL), 3~6세는 1회 100~150 mg (5~8 mL), 1~ 2세는 1회 50~100 mg (3~5 mL)을 1일 3~4회 복용합니다.체중이 30 kg 미만인 어린이는 1일량이 500 mg (25 mL)을 초과해서는 안되며 공복시 투여는 피하는 것이 바람직합니다."
7,건초염,"베노플러스겔(수출명:베노포르테겔,트롬보실겔)","이 약은 정맥류상 부종, 표재성 정맥염, 사고시 외상, 운동시 부상(타박상), 건초염의 진통·소염에 사용합니다.",상처나 감염된 부위에 1일 수회 엷게 바른후 피부를 가볍게 문질러 줍니다.
8,건초염,캐롤시럽(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","11~14세는 1회 200~250 mg (10~13 mL), 7~10세는 1회 150~200 mg (8~10 mL), 3~6세는 1회 100~150 mg (5~8 mL), 1~ 2세는 1회 50~100 mg (3~5 mL)을 1일 3~4회 복용합니다.체중이 30 kg 미만인 어린이는 1일량이 500 mg (25 mL)을 초과해서는 안되며 공복시 투여는 피하는 것이 바람직합니다."
9,건초염,오스틴이부프로펜정400밀리그람,"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1/2정~1.5정(200~600 mg), 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1/2정~1정(200~400 mg), 1일 3~4회 복용합니다.11~14세는 1회 200~250 mg, 7~10세는 1회 150~-200 mg, 3~6세는 1회 100~150 mg, 1~ 2세는 1회 50~100 mg을 1일 3~4회 경구투여합니다.체중이 30 kg 미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 복용은 피하는 것이 바람직합니다.권장용량을 초과하여 복용하지 마십시오."
0,결핍성,트레스비정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 발육기, 노년기의 비타민 A, D, E, B1, B2, B6, C의 보급과 눈의 건조감의 완화, 야맹증(밤에 잘 못 보는 증상), 뼈, 이의 발육불량, 구루병의 예방과 철 결핍성 빈혈의 예방 및 치료와 아연의 보급에 사용합니다.","성인 및 12세이상 어린이는 1회 1정씩, 1일 1회 복용합니다."
1,결핍성,신일폴산정,"이 약은 폴산결핍증의 예방 및 치료, 소모성 질환, 임부 및 수유부에서 폴산의 수요가 증대하여 식사로부터 섭취가 불충분한 경우의 보급, 악성빈혈의 보조요법(비타민 B12 결핍으로 인한 빈혈 제외), 영양결핍성빈혈, 임신성빈혈, 소아빈혈, 항전간제 투여로 인한 빈혈 중 폴산의 결핍 또는 대사장애가 관여한다고 추정되는 경우, 알코올중독 및 간질환에 관련된 거대적아구성빈혈에 사용합니다.","폴산결핍증, 다른 약물 투여로 인한 결핍증 치료 경우 성인 및 24개월 이상 소아는 1일 0.25~1 mg을 복용합니다.폴산결핍증 예방 및 폴산의 요구량이 증대하는 각종 질환 경우 성인 및 24개월 이상 소아는 1일 0.1~0.25 mg을 복용합니다."
2,결핍성,훼럼키드액(수산화제이철폴리말토스복염),이 약은 철 결핍성 빈혈에 사용합니다.,"성인은 1일 1회 철로서 100㎎, 12세 이상～19세 미만 소아는 1회 철로서 50㎎을 1일 2회, 1세 이상～12세 미만 소아는 1회 철로서 50㎎을 1일 1～2회, 1세 이하 소아는 1일 1회 철로서 15～50㎎을 식전, 식사 중 또는 식후에 복용합니다."
3,결핍성,레디비타정,"이 약은 육체피로, 임신‧수유기, 병중‧병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 햇빛·피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸 출혈 및 비출혈(코피) 예방과 철 결핍성 빈혈의 예방 및 치료에 사용합니다.","성인은 1일 1회, 1회 1정 복용합니다."
4,결핍성,폴시드정(폴산),"이 약은 폴산결핍증의 예방 및 치료, 소모성 질환, 임부 및 수유부에서 폴산의 수요가 증대하여 식사로부터 섭취가 불충분한 경우의 보급, 악성빈혈의 보조요법(비타민 B12 결핍으로 인한 빈혈 제외), 영양결핍성빈혈, 임신성빈혈, 소아빈혈, 항전간제 투여로 인한 빈혈 중 폴산의 결핍 또는 대사장애가 관여한다고 추정되는 경우, 알코올중독 및 간질환에 관련된 거대적아구성빈혈에 사용합니다.","폴산결핍증, 다른 약물 투여로 인한 결핍증 치료 경우 성인 및 24개월 이상 소아는 1일 0.25~1 mg을 복용합니다.폴산결핍증 예방 및 폴산의 요구량이 증대하는 각종 질환 경우 성인 및 24개월 이상 소아는 1일 0.1~0.25 mg을 복용합니다."
5,결핍성,헤모콤액(폴리말토오스수산화제이철착염),이 약은 철 결핍성 빈혈에 사용합니다.,"성인은 1일 1회 1병(철로서 100 mg), 12세 이상~19세 미만 소아는 1회 1/2병(철로서 50 mg)을 1일 2회, 1세 이상~12세 미만 소아는 1회 1/2병(철로서 50 mg)을 1일 1~2회 식전, 식사 중 또는 식후에 복용합니다."
6,결핍성,훼로맥스액(폴리말토오스수산화제이철착염),이 약은 철 결핍성 빈혈에 사용합니다.,"성인은 1일 1회 1병(철로서 100 mg), 12세 이상~19세 미만 소아는 1회 1/2병(철로서 50 mg)을 1일 2회, 1세 이상~12세 미만 소아는 1회 1/2병(철로서 50 mg)을 1일 1~2회 식전, 식사 중 또는 식후에 복용합니다."
7,결핍성,볼그레액(철아세틸트랜스페린),이 약은 철 결핍성빈혈에 사용합니다.,"성인은 철로서 1회 40 mg, 1일 1~2회 식사 시간을 피하여 복용합니다."
8,결핍성,훼리탑캡슐(글루콘산제이철나트륨착염),이 약은 철 결핍성 빈혈에 사용합니다.,"성인은 1회 1캡슐(철로서 62.5 mg), 1일 2회 식간에 복용합니다."
9,결핍성,헤모니아에프시럽(폴리사카리드철착염),이 약은 철 결핍성 빈혈에 사용합니다.,"성인은 1일 1~2병(철로서 100 ㎎~200 ㎎), 6세 이상 소아는 1일 1병(철로서 100 ㎎)을 복용합니다."
0,경련,지노콜시럽(구연산부타미레이트),"이 약은 급성기침, 경련성기침, 흡연성기침, 기관지경 검사 전·후의 기침 억제에 사용합니다.","성인은 1회 15 mL (22.5 mg), 1일 4회, 12~14세는 1회 15 mL (22.5 mg), 6~11세는 1회 10 mL (15 mg), 3~5세는 1회 5 mL (7.5 mg), 1일 3회 복용합니다."
1,경련,스파토민캡슐(디시클로민염산염),"이 약은 위·십이지장궤양, 위염, 대장염, 게실(곁주머니)염, 경련성 변비의 경련 완화에 사용합니다.","성인은 1회 1~2캡슐(10 ∼ 20 mg), 1일 3 ∼ 4회 복용합니다."
2,경련,포리부틴정(트리메부틴말레산염),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다."
3,경련,스파부틴정100밀리그램(트리메부틴말레산염),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다."
4,경련,타라부틴정(트리메부틴말레산염)(수출명:뉴트리소젠정),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다."
5,경련,"베부틴정(트리메부틴말레산염)(수출명:영일트리메부틴정,TRISPASMTab)","이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다."
6,경련,티메틴정(트리메부틴말레산염)(수출명:OZIMETINETab.),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다."
7,경련,신일트리메부틴말레산염정,"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다."
8,경련,토레스정(트리메부틴말레산염),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다."
9,경련,레큐틴정(트리메부틴말레산염),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다."
0,과식,활명수,"이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.","만 15세 이상 및 성인은 1회 1병(75 mL), 만 11세이상~만 15세미만은 1회 2/3병(50 mL), 만 8세 이상~만 11세 미만은 1회 1/2병(37.5 mL), 만 5세 이상~만 8세 미만은 1회 1/3병(25 mL), 만 3세 이상~만 5세 미만은 1회 1/4병(18.75 mL), 만 1세 이상~만 3세 미만은 1회 1/5병(15 mL), 1일 3회 식후에 복용합니다."
1,과식,"보화소합원(대환,소환)","이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.",대환은 1회 1∼2환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.소환은 1회 8∼16환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.
2,과식,베스타제정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정, 11~14세는 1회 1~2정, 8~10세는 1회 1정을 1일 3회 식후에 복용합니다."
3,과식,베스타제당의정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정, 11~14세는 1회 1~2정, 8~10세는 1회 1정을 1일 3회 식후에 복용합니다."
4,과식,건위황정,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림, 식욕감퇴(식욕부진), 소화불량, 과식에 사용합니다.","성인 1회 5정, 1일 3회 식간 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다."
5,과식,잘젠정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.
6,과식,제스판골드정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감, 구역, 구토에 사용합니다.",성인은 1회 1정 1일 3회 복용합니다.
7,과식,베로타정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.
8,과식,다이제틴정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.
9,과식,리포유정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.
0,관절,에어신신파스,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통·소염(항염)에 사용합니다.",수회(여러 차례) 환부(질환 부위)에 적당량을 뿌립니다.
1,관절,판콜에이내복액,"이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.","성인 1회 1병(30 mL), 1일 3회 식후 30분에 복용합니다."
2,관절,아로나민골드정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기(간유, 비타민 D, E 함유시)의 비타민 B1, B2, B6, E, C의 보급과 신경통, 근육통, 관절통(요통, 어깨결림 등) 증상의 완화, 각기, 눈의 피로에 사용합니다.","성인은 1회 1정씩, 1일 2회 복용합니다."
3,관절,뇌선,"이 약은 두통, 치통, 발치후의 동통, 인후통, 귀의통증, 관절통, 신경통, 요통, 근육통, 견통, 타박통, 골절통, 염좌통, 월경통(생리통), 외상통의 진통, 오한, 발열시의 해열에 사용합니다.","성인 1회 1포, 1일 3회를 한도로 하고 공복시를 피하여 복용합니다.복용간격은 4시간 이상으로 합니다."
4,관절,낙센정(나프록센),"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(삠, 타박상, 상처, 허리통증), 수술후 통증, 편두통, 발치(이를 뽑음)후 통증에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정(250~500 mg) 1일 2회(12시간마다), 급성통풍에 성인은 초회량(처음 복용량)으로 3정(750 mg) 복용하고 발작이 없어질 때까지 8시간 간격으로 1정(250 mg)을 복용, 골격근장애, 수술후 동통(통증), 발치(이를 뽑음)후 동통(통증), 월경곤란증, 건염(힘줄염), 활액(윤활)낭염에 성인은 초회량(처음 복용량)으로 2정(500 mg)을 복용한 후 6~8시간 간격으로 1정(250 mg)씩 복용하고 1일 총용량이 5정(1250 mg)을 초과하지 않도록 합니다.편두통에 성인은 초회량(처음 복용량)으로 3정(750 mg)을 복용하고 필요하면 1일 1~2정(250-500 mg)을 더 투여할 수 있으며 초회량(처음 복용량)의 투여 30분 후에 투여합니다. 1일 총용량이 5정(1250 mg)을 초과하지 않도록 합니다."
5,관절,부루펜정200밀리그램(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","성인은 류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에는 1회 1~3정(200~600 mg) 1일 3~4회 1일 최고 16정(3,200 mg)까지 복용할 수 있으며, 연소성 류마티양 관절염에는 1일 체중 kg당 30~40 mg을 3~4회 분할 복용, 경증 및 중등도의 동통이나 감기에는 성인 1회 1~2정(200~400 mg) 1일 3~4회 복용합니다."
6,관절,게보린정(수출명:돌로린정),"이 약은 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨통증), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통과 오한(춥고 떨리는 증상), 발열시의 해열에 사용합니다.",성인은 1회 1정 1일 3회까지 공복시를 피해 복용합니다.복용간격은 4시간 이상으로 합니다.이 약은 원칙적으로 단기간 복용합니다.
7,관절,녹십자제놀카타플라스마,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증의 진통ㆍ소염(항염)에 사용합니다.",1일 1~2회 환부(질환 부위)에 붙입니다.
8,관절,아나프록스정(나프록센나트륨),"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 동통(통증)에 사용합니다.","성인은 류마티양 관절염, 골관절염, 강직성 척추염에는 1회 1~2정(275~550 mg) 1일 2회(12시간마다) 복용, 급성통풍에는 초회량(처음 복용량)으로 3정(825 mg) 복용하고 발작이 소실(없어짐)될 때까지 8시간 간격으로 1정(275 mg)을 복용, 골격근장애, 수술후 동통(통증), 발치(이를 뽑음)후 동통(통증), 월경곤란증, 건염(힘줄염), 활액(윤활)낭염에는 초회량(처음 복용량)으로 2정(550 mg)을 복용한 후 6~8시간간격으로 1정(275 mg)씩 복용하고 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다. 편두통에는 초회량(처음 복용량)으로 3정(825 mg)을 복용하고 필요하면 1일 1~2정(275~550 mg)을 더 복용할 수 있으며 초회량(처음 복용량)의 복용 30분 후에 복용하고 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다."
9,관절,부루펜정400밀리그램(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1/2정~1.5정(200~600 mg), 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1/2정~1정(200~400 mg), 1일 3~4회 복용합니다.권장용량을 초과하여 복용하지 마십시오.연령, 증상에 따라 적절히 증감하십시오."
